Training model 1/3
Epoch:4/80 Batch:12/106 Train Loss:1.6844
Epoch:4/80 Batch:13/106 Train Loss:1.5749
Epoch:4/80 Batch:14/106 Train Loss:1.7560
Epoch:4/80 Batch:15/106 Train Loss:1.5800
Epoch:4/80 Batch:16/106 Train Loss:1.6933
Epoch:4/80 Batch:17/106 Train Loss:1.5384
Epoch:4/80 Batch:18/106 Train Loss:1.5850
Epoch:4/80 Batch:19/106 Train Loss:1.6409
Epoch:4/80 Batch:20/106 Train Loss:1.6620
Epoch:4/80 Batch:21/106 Train Loss:1.8268
Epoch:4/80 Batch:22/106 Train Loss:1.7678
Epoch:4/80 Batch:23/106 Train Loss:1.8781
Epoch:4/80 Batch:24/106 Train Loss:1.4847
Epoch:4/80 Batch:25/106 Train Loss:1.8878
Epoch:4/80 Batch:26/106 Train Loss:1.5653
Epoch:4/80 Batch:27/106 Train Loss:1.7290
Epoch:4/80 Batch:28/106 Train Loss:1.7768
Epoch:4/80 Batch:29/106 Train Loss:1.6512
Epoch:4/80 Batch:30/106 Train Loss:1.7597
Epoch:4/80 Batch:31/106 Train Loss:1.6587
Epoch:4/80 Batch:32/106 Train Loss:1.6937
Epoch:4/80 Batch:33/106 Train Loss:1.5465
Epoch:4/80 Batch:34/106 Train Loss:1.7532
Epoch:4/80 Batch:35/106 Train Loss:1.5503
Epoch:4/80 Batch:36/106 Train Loss:1.7486
Epoch:4/80 Batch:37/106 Train Loss:1.5944
Epoch:4/80 Batch:38/106 Train Loss:1.7296
Epoch:4/80 Batch:39/106 Train Loss:1.8048
Epoch:4/80 Batch:40/106 Train Loss:1.5223
Epoch:4/80 Batch:41/106 Train Loss:1.5677
Epoch:4/80 Batch:42/106 Train Loss:1.7883
Epoch:4/80 Batch:43/106 Train Loss:1.4734
Epoch:4/80 Batch:44/106 Train Loss:1.5906
Epoch:4/80 Batch:45/106 Train Loss:1.7598
Epoch:4/80 Batch:46/106 Train Loss:1.7936
Epoch:4/80 Batch:47/106 Train Loss:1.7396
Epoch:4/80 Batch:48/106 Train Loss:1.5685
Epoch:4/80 Batch:49/106 Train Loss:1.7131
Epoch:4/80 Batch:50/106 Train Loss:1.5781
Epoch:4/80 Batch:51/106 Train Loss:1.7071
Epoch:4/80 Batch:52/106 Train Loss:1.5246
Epoch:4/80 Batch:53/106 Train Loss:1.6071
Epoch:4/80 Batch:54/106 Train Loss:1.5699
Epoch:4/80 Batch:55/106 Train Loss:1.6121
Epoch:4/80 Batch:56/106 Train Loss:1.4792
Epoch:4/80 Batch:57/106 Train Loss:1.8027
Epoch:4/80 Batch:58/106 Train Loss:1.7385
Epoch:4/80 Batch:59/106 Train Loss:1.6772
Epoch:4/80 Batch:60/106 Train Loss:1.6174
Epoch:4/80 Batch:61/106 Train Loss:1.6393
Epoch:4/80 Batch:62/106 Train Loss:1.8087
Epoch:4/80 Batch:63/106 Train Loss:2.0141
Epoch:4/80 Batch:64/106 Train Loss:1.6070
Epoch:4/80 Batch:65/106 Train Loss:1.9018
Epoch:4/80 Batch:66/106 Train Loss:1.8254
Epoch:4/80 Batch:67/106 Train Loss:1.5658
Epoch:4/80 Batch:68/106 Train Loss:1.7940
Epoch:4/80 Batch:69/106 Train Loss:1.5796
Epoch:4/80 Batch:70/106 Train Loss:1.4760
Epoch:4/80 Batch:71/106 Train Loss:1.6435
